exp,membind,bytes,iters,wall_ms,ns_per_chase
E2,0,100000000,200000000,16492.6,82.46
E2,1,100000000,200000000,27559.2,137.80
E2,0,1000000000,200000000,23254.4,116.27
E2,1,1000000000,200000000,40179.0,200.89
E2,0,4000000000,200000000,24153.0,120.76
E2,1,4000000000,200000000,41136.0,205.68
